Include;ConceptName;Synonyms;Symbol;Description;WordsDes;Definition;WordsDef;Instances;ClassAttributes;InstanceAttributes;TexSyn;TexAcr;TexDesc;TexDef;TexIns;TexCAT;TexIAT;TexName
1;Objective;;O;An objective is more general than a goal, although their definitions are rather similar. Fulfilling several goals can lead an organisational unit towards fulfilling a set objective. Thus, an objective is more suitable in the context of strategic planning, while a goal is more suitably used in the context of short-term planning. ;64;An objective is a high-level goal the be met, suitable for the context of strategic planning.;17;LearnSpell, FindDragonEgg, Brew Hatching Potion;;triggers, hasCriteriaOfOrganizing, isAchievedBy;;(O);\item[\textbf{DES}] An objective is more general than a goal, although their definitions are rather similar. Fulfilling several goals can lead an organisational unit towards fulfilling a set objective. Thus, an objective is more suitable in the context of strategic planning, while a goal is more suitably used in the context of short-term planning. ;\item[\textbf{DEF}] An objective is a high-level goal the be met, suitable for the context of strategic planning.;\item[\textbf{INS}] LearnSpell, FindDragonEgg, Brew Hatching Potion;;\item[\textbf{IAT}] triggers, hasCriteriaOfOrganizing, isAchievedBy;Objective
1;Observable Property;;;This is a property of an artefact located in \iac{IVE} that is observable by other agents located within the same \ac{IVE}. These are tighly connected to the concept of observable events, and can be influenced upon by an operation.;64;An observable property is a peroperty of an artefact that can be observed by agents in the same \ac{IVE}.;17;;;;;;\item[\textbf{DES}] This is a property of an artefact located in \iac{IVE} that is observable by other agents located within the same \ac{IVE}. These are tighly connected to the concept of observable events, and can be influenced upon by an operation.;\item[\textbf{DEF}] An observable property is a peroperty of an artefact that can be observed by agents in the same \ac{IVE}.;;;;ObservableProperty
0;Operation;;;;64;;17;;;;;;;;;;;Operation
1;Organisation;;;An apt definition is given in \cite{Carley1999} where an organisation is defined using several characteristics, including large-scale problem solving technology, composition of multiple agents, systems of goal-directed activities, etc. Furthermore, an essential benefit of organisations is identified in overcoming limitations of individual agency, especially cognitive, physical, temporal, and institutional.;64;An organisation is generally a group of agents structured according to a set criteria, with the basic goal of overcoming limitations of individual agency and achieving an organisation goal.;17;;;;;;\item[\textbf{DES}] An apt definition is given in \cite{Carley1999} where an organisation is defined using several characteristics, including large-scale problem solving technology, composition of multiple agents, systems of goal-directed activities, etc. Furthermore, an essential benefit of organisations is identified in overcoming limitations of individual agency, especially cognitive, physical, temporal, and institutional.;\item[\textbf{DEF}] An organisation is generally a group of agents structured according to a set criteria, with the basic goal of overcoming limitations of individual agency and achieving an organisation goal.;;;;Organisation
1;Organisational Architecture;;;All those concepts that deal with more than one aspect of organisational architecture, i.e. are not specialised as for example concepts that describe organisational structure only, are classified as belonging to the organisational architecture concept. \cite{Schatten2014towardsLSMAS} therefore identifies 15 such concepts.;64;In the context of this document, organisational architecture is the superclass for all the organisation-related concepts that deal with more than one aspect of organisational architecture.;17;Shamrock organisation, strategic organisation, information-based organisation, learning organisation, open organisation, etc.;;;;;\item[\textbf{DES}] All those concepts that deal with more than one aspect of organisational architecture, i.e. are not specialised as for example concepts that describe organisational structure only, are classified as belonging to the organisational architecture concept. \cite{Schatten2014towardsLSMAS} therefore identifies 15 such concepts.;\item[\textbf{DEF}] In the context of this document, organisational architecture is the superclass for all the organisation-related concepts that deal with more than one aspect of organisational architecture.;\item[\textbf{INS}] Shamrock organisation, strategic organisation, information-based organisation, learning organisation, open organisation, etc.;;;OrganisationalArchitecture
1;Organisational Change;Organisational Dynamics;;The concept of organisational change is closely tied to the intension of the concept of orgnaisational dynamics, since both concepts describe change to the established agent organisations. A change in the context of organisational change definition can be influenced by an organisational design method, yet unmistakingly it affects the organisational architecture of the given organisation. A change as defined here can adhere to one of the identified types of change (e.g. structural, cultural, strategic, etc.), can be attributed an impact of change, reason why the change started, and a key influence area (e.g. organisational memory) \cite{Schatten2014towardsLSMAS}.;64;;17;;;;\item[\textbf{SYN}] Organisational Dynamics;;\item[\textbf{DES}] The concept of organisational change is closely tied to the intension of the concept of orgnaisational dynamics, since both concepts describe change to the established agent organisations. A change in the context of organisational change definition can be influenced by an organisational design method, yet unmistakingly it affects the organisational architecture of the given organisation. A change as defined here can adhere to one of the identified types of change (e.g. structural, cultural, strategic, etc.), can be attributed an impact of change, reason why the change started, and a key influence area (e.g. organisational memory) \cite{Schatten2014towardsLSMAS}.;;;;;OrganisationalChange
1;Organisational Culture;;;The concept of organisational culture encompasses all the intangible aspects of an organisation, such as knowledge, various types of norms, a system of rewards, languages used in the organisation, etc. Organisational culture is therefore a concept that is mostly based in the organisational units, i.e. in the individual agents forming the organisation, and is thus the most fuzzy concept of all the perspectives of an organisation. \cite{Schatten2016roadmapIoE,Schatten2014towardsLSMAS} provide a quick overview of various conceptualisations of organisational architecture, where it is visible that organisational culture is an important part of an organisation.;64;\textit{Organizational culture defines important intangible aspects of an organization including knowledge, social norms, reward systems, language and similar.} \cite{Schatten2016roadmapIoE,Schatten2014initialLSMAS};17;;;;;;\item[\textbf{DES}] The concept of organisational culture encompasses all the intangible aspects of an organisation, such as knowledge, various types of norms, a system of rewards, languages used in the organisation, etc. Organisational culture is therefore a concept that is mostly based in the organisational units, i.e. in the individual agents forming the organisation, and is thus the most fuzzy concept of all the perspectives of an organisation. \cite{Schatten2016roadmapIoE,Schatten2014towardsLSMAS} summarises several papers \todo{Which papers?}, and provides a quick overview of various conceptualisations of organisational architecture, where it is visible that organisational culture is an important part of an organisation.;\item[\textbf{DEF}] \textit{Organizational culture defines important intangible aspects of an organization including knowledge, social norms, reward systems, language and similar.} \cite{Schatten2016roadmapIoE,Schatten2014initialLSMAS};\item[\textbf{INS}] Formal Dress Code, The Dragon Egg item is usable for at most 23 hours after being laid.;;;OrganisationalCulture
0;Organisational Design Method;Design Method;;;64;;17;;;;\item[\textbf{SYN}] Design Method;;;;;;;OrganisationalDesignMethod
1;Organisational Environment;;;The concept of organisational environment encompasses all the concepts that represent factors external to an organisation that have a potential to influence the given organisation, such as external organisations or individuals, or external events. Main concerns when organisational environment is considered are directed towards identifying constraints imposed on the given organisation by the environment, and demands of the environment towards the given organisation. \cite{Schatten2016roadmapIoE};64;Organisational environment are all the external factors that have the capacity to influence an organisation.;17;;;;;;\item[\textbf{DES}] The concept of organisational environment encompasses all the concepts that represent factors external to an organisation that have a potential to influence the given organisation, such as external organisations or individuals, or external events. Main concerns when organisational environment is considered are directed towards identifying constraints imposed on the given organisation by the environment, and demands of the environment towards the given organisation. \cite{Schatten2016roadmapIoE};\item[\textbf{DEF}] Organisational environment are all the external factors that have the capacity to influence an organisation.;;;;OrganisationalEnvironment
0;Organisational Individual;Agent;;;64;;17;;;;\item[\textbf{SYN}] Agent;;;;;;;OrganisationalIndividual
1;Organisational Knowledge Network;;;A network connecting all the pieces of organisational knowledge is considered to build an organisational knowledge network that effectively collects and intertwines all the knowledge of an organisation, thus fostering knowledge sharing and reuse amongst the organisational units of the given organisation, i.e. ultimately individual agents.;64;Organisational knowledge network is a network created by interconnected pieces of organisational knowledge.;17;;;;;;\item[\textbf{DES}] A network connecting all the pieces of organisational knowledge is considered to build an organisational knowledge network that effectively collects and intertwines all the knowledge of an organisation, thus fostering knowledge sharing and reuse amongst the organisational units of the given organisation, i.e. ultimately individual agents.;\item[\textbf{DEF}] Organisational knowledge network is a network created by interconnected pieces of organisational knowledge.;;;;OrganisationalKnowledgeNetwork
0;Organisational Process;Process;;;64;;17;;;;\item[\textbf{SYN}] Process;;;;;;;OrganisationalProcess
0;Organisational Strategy;Strategy;;;64;;17;;;;\item[\textbf{SYN}] Strategy;;;;;;;OrganisationalStrategy
1;Organisational Structure;;;Concepts used for describing various aspects and forms of structuring organisational units are categorised as belonging to the concept of organisational structure. Based on two different approaches, two criteria for classifying concepts of organisational structuring are used. The first depends on whether the given structure is the main structure or is it laid over the organisation, as a form of a super-structure. The second is based on the form of the structure, i.e. is it a hierarchical or heterarchical, or a mix of both.;64;Organisational structure is a concept comprising various aspects and forms f structuring organisational units.;17;Hierarchical, heterarchical;;;;;\item[\textbf{DES}] Concepts used for describing various aspects and forms of structuring organisational units are categorised as belonging to the concept of organisational structure. Based on two different approaches, two criteria for classifying concepts of organisational structuring are used. The first depends on whether the given structure is the main structure or is it laid over the organisation, as a form of a super-structure. The second is based on the form of the structure, i.e. is it a hierarchical or heterarchical, or a mix of both.;\item[\textbf{DEF}] Organisational structure is a concept comprising various aspects and forms f structuring organisational units.;\item[\textbf{INS}] Hierarchical, heterarchical;;;OrganisationalStructure
1;Organisational Unit;;OU;An organisational unit is the elementary unit of an organisation that, under the influence of the other organisational concepts, forms an organisation. In the context of this document, and the area of \acp{LSMAS}, an organisational unit is usually considered to represent an individual agent. Using the recursive definition though, an organisational unit that comprises multiple organisational units can be, under circumstances specified in \cite{Schatten2014initialLSMAS}, considered as an organisational unit. Using a more graphic explanation, a department organisational unit that comprises individual agents can be considered as individual organisational unit on a higher level of organisational hierarchy, where department organisational units form a higher-level organisational unit of a faculty.;64;An organisational unit is the key elementary unit in the context of forming an organisation.;17;maliAgent13;;definesRoles, hasRelation, hasRole, hasRelationship, definesRoles, hasCriteriaOfOrganizing, consistsOf, isPartOf;;(OU);\item[\textbf{DES}] An organisational unit is the elementary unit of an organisation that, under the influence of the other organisational concepts, forms an organisation. In the context of this document, and the area of \acp{LSMAS}, an organisational unit is usually considered to represent an individual agent. Using the recursive definition though, an organisational unit that comprises multiple organisational units can be, under circumstances specified in \cite{Schatten2014initialLSMAS}, considered as an organisational unit. Using a more graphic explanation, a department organisational unit that comprises individual agents can be considered as individual organisational unit on a higher level of organisational hierarchy, where department organisational units form a higher-level organisational unit of a faculty.;\item[\textbf{DEF}] An organisational unit is the key elementary unit in the context of forming an organisation.;\item[\textbf{INS}] maliAgent13;;\item[\textbf{IAT}] definesRoles, hasRelation, hasRole, hasRelationship, definesRoles, hasCriteriaOfOrganizing, consistsOf, isPartOf;OrganisationalUnit
1;Physical Artefact;IVE Artefact;;Every concept that describes objects that can be physically represented (e.g. a top hat), i.e. embodied and positioned on a topological map, and as such included in \iac{IVE} are classified as physical artefacts. Such elements have their role to play in the given \ac{IVE} and usually contain a defined interface that governs the process of interaction of an agent with the given physical artefact. ;64;Physical artefacts are all the concepts that can be physically represented and included in \iac{IVE}.;17;;;;\item[\textbf{SYN}] IVE Artefact;;\item[\textbf{DES}] Every concept that describes objects that can be physically represented (e.g. a top hat), i.e. embodied and positioned on a topological map, and as such included in \iac{IVE} are classified as physical artefacts. Such elements have their role to play in the given \ac{IVE} and usually contain a defined interface that governs the process of interaction of an agent with the given physical artefact. ;\item[\textbf{DEF}] Physical artefacts are all the concepts that can be physically represented and included in \iac{IVE}.;;;;PhysicalArtefact
1;Physical Property;;;Physical properties are key elements of physical artefacts, i.e. artefacts that can be visualised in a physical space. Usually when an artefact is used, a physical event is generated, and a physical property is modified.;64;;17;;;;;;\item[\textbf{DES}] Physical properties are key elements of physical artefacts, i.e. artefacts that can be visualised in a physical space. Usually when an artefact is used, a physical event is generated, and a physical property is modified.;;;;;PhysicalProperty
